答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_角色,Q2_年龄,Q3_在读或已取得学历,Q4_高中的学科偏向,Q5_性别,Q6_对Alpha Go/Master/Zero等目前AI水平的态度？,Q7_再过二十年，AI已经能完成大部分人类的机械劳动时，能完全大部分非设计性工作，你如何看人类工作逐渐被代替的趋势？,Q8_如果再过四十年，AI发展到有了自我意识，有自己独立的思考和判断，能完成一定设计性工作，如编程/绘画/写作，你如何看？,Q9_再过一百年以上，AI真的发展到超越人类能力，能完成许多人类无法完成的工作，如短时间完成小说，完成科学研究等，你如何看？,Q10_如果你能决定一百年后AI发展的发展程度，你觉得什么程度比较合适
74,223.104.14.176,,,,,,,,,2018-12-16 22:36:37,2018-12-16 22:37:36,Unknown Browser,iPhone iOS 9.1,0分59秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的解放，人类终于能实现自我理想,完成机械工作即可
75,60.207.237.48,,,,,,,,,2018-12-16 22:44:59,2018-12-16 22:45:29,Chrome 57.0.2987.132,Android Linux 7.0,0分30秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的灭亡，人类被AI支配的时代,有思考和学习能力
76,60.207.237.77,,,,,,,,,2018-12-16 23:14:45,2018-12-16 23:15:22,Unknown Browser,iPhone iOS 10.3.1,0分37秒,正常完成,学生,,硕士,理科,女,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
77,60.207.237.50,,,,,,,,,2018-12-16 23:56:59,2018-12-17 00:01:06,Chrome 57.0.2987.132,Android Linux 8.0,4分7秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
78,60.207.237.5,,,,,,,,,2018-12-17 01:02:59,2018-12-17 01:03:41,Chrome 57.0.2987.132,Android Linux 8.1,0分42秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
79,117.136.0.238,,,,,,,,,2018-12-17 01:31:51,2018-12-17 01:32:45,Unknown Browser,iPhone iOS 11.0,0分54秒,正常完成,学生,,硕士,理科,女,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,有思考和学习能力
80,117.136.38.183,,,,,,,,,2018-12-17 08:10:06,2018-12-17 08:12:12,Chrome 57.0.2987.132,Android Linux 7.0,2分6秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
81,117.136.38.177,,,,,,,,,2018-12-17 09:49:42,2018-12-17 09:50:19,Unknown Browser,iPhone iOS 11.4.1,0分37秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,大量人将找不到工作，社会会混乱，表示担忧,兴奋，生活将更加有趣与舒适，不太担心,人类的灭亡，人类被AI支配的时代,超越人类
82,223.104.3.195,,,,,,,,,2018-12-17 10:39:08,2018-12-17 10:39:56,Chrome 57.0.2987.132,Android Linux 8.0,0分48秒,正常完成,学生,,硕士,文科,女,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,完成机械工作即可
83,60.207.237.19,,,,,,,,,2018-12-17 16:50:53,2018-12-17 16:53:43,Chrome 57.0.2987.132,Android Linux 7.0,2分50秒,正常完成,其他,30-39,本科,文科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,超越人类
84,60.207.237.89,,,,,,,,,2018-12-17 16:57:05,2018-12-17 16:58:39,Chrome 66.0.3359.126,Android Linux 7.0,1分34秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,超越人类
85,106.121.128.74,,,,,,,,,2018-12-17 17:03:05,2018-12-17 17:04:00,Chrome 57.0.2987.132,Android Linux 8.1,0分55秒,正常完成,学生,,硕士,理科,女,害怕担心反对,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
86,58.38.194.250,,,,,,,,,2018-12-17 23:25:13,2018-12-17 23:26:22,Chrome 57.0.2987.132,Android Linux 8.0,1分9秒,正常完成,其他,20-29,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
